service,month,isrc,product,song_name,artist,album,label,file_name,country,total,royality,userid
Apple,Apr/23,INK782201237,,Cloud 9,Amrit Nagra  Abhi!,,Abhi,Apple,CA,1,0.1608771378,48
Apple,Apr/23,INK782201237,,Cloud 9,Amrit Nagra  Abhi!,,Abhi,Apple,CA,1,0.3037278732,48
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,AU,1,0.2178867144,28
Apple,Apr/23,INK782200707,,Barood Se itna 2 (Naam Ka bawaal Lofi + Reverb),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,CA,1,0.140933691,28
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,CA,1,0.1608771378,28
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,CA,2,0.507027351,28
Apple,Apr/23,INK782200046,,Meerut Ke Yaar,Abhishek Sikheda,,Abhishek Sikheda Official,Apple,CA,1,0.3037278732,28
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,CA,1,0.607455747,28
Apple,Apr/23,INK782200542,,Badmashi Ka Trend (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,CA,15,7.862201466,28
Apple,Apr/23,INK782200707,,Barood Se itna 2 (Naam Ka bawaal Lofi + Reverb),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,HU,1,0.2323391754,28
Apple,Apr/23,INK782200261,,Barood Se Itna 2 Naam Ka bawaal (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,5,0.1879798374,28
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,2,0.0704924394,28
Apple,Apr/23,INK782200542,,Badmashi Ka Trend (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,9,0.3524621958,28
Apple,Apr/23,INK782200707,,Barood Se itna 2 (Naam Ka bawaal Lofi + Reverb),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,1,0.0234974796,28
Apple,Apr/23,INK782200261,,Barood Se Itna 2 Naam Ka bawaal (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,1,0.0326478588,28
Apple,Apr/23,INK782200261,,Barood Se Itna 2 Naam Ka bawaal (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,16,0.8488443258,28
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,10,0.5550135978,28
Apple,Apr/23,INK782200406,,Naam Ka Bawaal (Barood Se Itna 2) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,1,0.0652957176,28
Apple,Apr/23,INK782200441,,Barood Se itna 2 Dj Remix (Naam ka bawaal) (Featuring. Harendra Nagar) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,1,0.0652957176,28
Apple,Apr/23,INK782200441,,Barood Se itna 2 Dj Remix (Naam ka bawaal) (Featuring. Harendra Nagar) (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,2,0.0979435758,28
Apple,Apr/23,INK782200542,,Badmashi Ka Trend (feat. Harendra Nagar),Abhishek Sikheda,,Abhishek Sikheda Official,Apple,IN,9,0.4897178802,28
